,text,polarity,subjectivity
0,"Dibalik permainan indah Kevin, Marcus, Fajar, dan Rian,

Ada om Herry Iman yang selalu memotivasi.

Coach yang satu… https://t.co/ZCEtB314cz",0.00,0.00
1,RT @soultwinskv: artprints from @koov_95 are here 💕 thank u so much these are so beautiful i also got a taehyung postcard freebie !! https:…,0.60,0.60
2,RT @NICKIMINAJ: 😂😂😂 https://t.co/5J6JbYlyIJ,0.00,0.00
3,"RT @lions_official: トリプルプレーが完成!!
三塁手・ #中村剛也 選手 → 二塁手・ #浅村栄斗 選手 → 一塁手・ #山川穂高 選手が抜群の連携を見せ、初回から好プレーが飛び出しています！
#埼玉西武ライオンズ #seibulions #NPB http…",0.00,0.00
4,"RT @Bluebanana555: หลังจากดู  #GirlDontCry ผ่านมาหนึ่งสัปดาห์ พอดีเจอแอพชื่อว่า instadham รวมคำสอนจากพระเอามาใส่กับรูปได้ 

เลยเอามาใส่กับ…",0.00,0.00
5,@okita_73526 https://t.co/yNfTYUQmhz,0.00,0.00
6,와너무이뻐진짜이뻐 이장면 이거이거 스캇이 스타일즈 손을 잡자 검게올라오는 스타일즈 고통ㅜㅜㅡ너무좋아○-(-( https://t.co/IlLHcryXZJ,0.00,0.00
7,OO POTEK ANG BILIS NG ARAW GISING KALANG PARA GUMAWA NG ASSIGNMENTS PETA THEN TULOG THEN REPEAT HSHS https://t.co/9KipyhmGVy,0.00,0.00
8,RT @senzakimakoto: 【告知】東京ジョイポリス様×ときレスコラボのビジュアルを提供してます。いつもと違うこの衣装はジョイポリさんからアイディアをいただきました！ありがとポリ🤗 https://t.co/6mLnKgSaAy,0.00,0.00
9,RT @Lorm_Tai_Peak: เอ็นดูว์น้องเค้า 😘😊☺️ (cr: IG p'fai) https://t.co/kh66g6p81j,0.00,0.00
10,RT @nolanmclean11: Honored to recieve my second offer from East Carolina University! Thank you to all of the coaching staff!! 🏈☠️ https://t…,0.00,0.00
11,"RT @TheRickWilson: Bless your heart. (I know you're not from the South, so have someone translate that for you and tell you what I really m…",0.20,0.20
12,RT @MercedesBenz: You’re not a true Mercedes-Benz owner until you follow us. https://t.co/WQWd2NN8iZ,-0.17,0.65
13,"RT @shintaro1130876: 動く！音が鳴る！！
バンドリ履歴書作ってみました。
よければRTいいねよろしくお願いします。
ID 786175 (フレンド募集中です)
#バンドリ履歴書
#バンドリ
#バンドリフレンド募集 
#バンドリーマーと繋がりたい 
#バンドリ…",0.00,0.00
14,時を隔て我が子は https://t.co/tpOQbfJ9qd,0.00,0.00
