,text,polarity,subjectivity
0,"RT @Stabbyness: D&amp;D, in theory: you, a splendid warrior, with grace and power slice through the enemy lines carving a path for your comrade…",0.8333333333333334,1.0
1,"RT @kenzkokoski: Apple cider, hay rides, haunted houses, carving pumpkins, fall candles, cozy sweaters, cabin socks, corn mazes, caramel ap…",-0.19999999999999998,0.75
2,RT @MarPagesTWL: Learning about the ancient art of wood carving in #Tuscany https://t.co/BplLTClw5L @VisitTuscany @Kmzerotours #Local #Slow…,0.0,0.0
3,"RT @Stabbyness: D&amp;D, in theory: you, a splendid warrior, with grace and power slice through the enemy lines carving a path for your comrade…",0.8333333333333334,1.0
4,I can’t wait to be carving pumpkins while watching Hocus Pocus by a fire wearing a sweater sippin on something warm… https://t.co/wu6vDddDLd,0.0,0.0
5,Creativity fused with unique design for the days you want to stand out! Buy this here: https://t.co/HcUjnXAp4R… https://t.co/pLregg4TPe,0.46875,1.0
6,"silver glass
kutchi silver carving articals https://t.co/1FgQIzzU0k",0.0,0.0
7,"Carving on Mulholland Drive, Los Angeles , on a Triumph Street Triple R. https://t.co/hRzUlqFar0 via @YouTube",0.0,0.0
8,"Close up of the rare and incredible Georgian period Chinese carved pit pendant. Known as 'Heidao', the art of carvi… https://t.co/ZbYTJDake9",0.39999999999999997,0.6
9,Someone called Horatio is in the process of carving a chicken,-0.6,0.95
10,RT @FreakyNtricky: 3 days of carving the Eiffel Tower into a tip of a pencil! https://t.co/wJN91SLUws,0.625,1.0
11,"""'I believe that my family has been the most formidable film dynasty that the Indian cinema has seen', says Karisma… https://t.co/OzbNOS0lXd",0.5,0.5
12,"@aidanfeith53 @StoolGametime @barstoolsports @SmittyBarstool As a fellow Eagle Scout, I’m disappointed you can’t us… https://t.co/YK41bhCJDk",-0.75,0.75
13,RT @jennyyyminz: corn maze and pumpkin carving is a HUGE date 🤩,0.4000000000000001,0.9
14,"RT @NatGeoTravel: Catch a glimpse into the delicate, intricate process of egg carving https://t.co/tO3GJcL85c https://t.co/pTN3gO8WF4",-0.3,0.9
