,text,polarity,subjectivity
0,RT @moongchi_jjal: 불만 가득해보이는 뭉치 눈빛 https://t.co/1Dgr5bfZLr,0.0,0.0
1,"Detingut més de 50 vegades un lladre especialitzat en robatoris a bugaderies 
https://t.co/WLgaNDoO7E  via @324cat. Flipo...",0.0,0.0
2,"RT @wowkGivIdwh8pse: ナカイの窓 梶裕貴 出演
ナカイの窓 梶裕貴 出演
ナカイの窓 梶裕貴 出演
ナカイの窓 梶裕貴 出演
ナカイの窓 梶裕貴 出演
9月5日←←←
#大事なことなので5回言いました",0.0,0.0
3,@mm85239 やる気満ちた勢いで、ずっとやりたいと思っていたジムに入会してきました💪🏻✨❣️,0.0,0.0
4,if any of yall cat grils hit me up im a funney and nice dude,0.6,1.0
5,RT @akaimos_sss: 徹夜で会いに来て、安心して寝ちゃう https://t.co/poTVKl61Tc,0.0,0.0
6,My cat is the best kitty ever I love her so much. 🐱,0.5666666666666667,0.36666666666666664
7,RT @TiniBlues: Doja Cat's words to the vegans is me 💀 https://t.co/SoSCuNPPx2,0.0,0.0
8,@black_cat_e_o @davezarei @Mahmoud55791825 کسی که خوابه رو میشه بیدار کرد ولی کسی که خودشه به خواب زده رو نه. امثال… https://t.co/t00VLg1YAW,0.0,0.0
9,"RT @SweetZenis: Neither my couch with a book, tea and my cat https://t.co/s8SNhmlU6g",0.0,0.0
10,RT @RelktntHero: This is the money cat. retweet this in 30 seconds and you will find yourself with more wealth https://t.co/a7MlYwUlEN,0.5,0.5
11,"RT @TomHall: Friends

Please wait for the last 5 seconds : )

🐶 🐱

#SaturdayMorning #Dog #Cat #Caturday #Saturday 

https://t.co/BZNTbCDkiF",0.25,0.5333333333333333
12,"RT @thalestral: The flat-headed cat is extremely unimpressed with everyone and everything.

They are pretty endangered though so fair enoug…",0.27499999999999997,0.9666666666666667
13,"@rumba_cat Thank you!!! ❤️ Goodnight, sleep well!!",0.0,0.0
14,グラスタ裏でキューケイ,0.0,0.0
